😀 grinning-face
📨 incoming-envelope
📩 envelope-with-arrow
📤 outbox-tray
📥 inbox-tray
📦 package
📫 closed-mailbox-with-raised-flag
📪 closed-mailbox-with-lowered-flag
📬 open-mailbox-with-raised-flag
📭 open-mailbox-with-lowered-flag
📮 postbox
🗳️ ballot-box-with-ballot
✏️ pencil
✒️ black-nib
🖋️ fountain-pen
🖊️ pen
🖌️ paintbrush
🖍️ crayon
📝 memo
💼 briefcase
📁 file-folder
📂 open-file-folder
🗂️ card-index-dividers
📅 calendar
📆 tear-off-calendar
🗒️ spiral-notepad
🗓️ spiral-calendar
📇 card-index
📈 chart-increasing
📉 chart-decreasing
📊 bar-chart
📋 clipboard
📌 pushpin
📍 round-pushpin
📎 paperclip
🖇️ linked-paperclips
📏 straight-ruler
📐 triangular-ruler
✂️ scissors
🗃️ card-file-box
🗄️ file-cabinet
🗑️ wastebasket
🔒 locked
🔓 unlocked
🔏 locked-with-pen
🔐 locked-with-key
🔑 key
🗝️ old-key
🔨 hammer
🪓 axe
⛏️ pick
⚒️ hammer-and-pick
🛠️ hammer-and-wrench
🗡️ dagger
⚔️ crossed-swords
🔫 pistol
🏹 bow-and-arrow
🛡️ shield
🔧 wrench
🔩 nut-and-bolt
⚙️ gear
🗜️ clamp
⚖️ balance-scale
🦯 probing-cane
🔗 link
⛓️ chains
🧰 toolbox
🧲 magnet
⚗️ alembic
🧪 test-tube
🧫 petri-dish
🧬 dna
🔬 microscope
🔭 telescope
📡 satellite-antenna
💉 syringe
🩸 drop-of-blood
💊 pill
🩹 adhesive-bandage
🩺 stethoscope
🚪 door
🛏️ bed
🛋️ couch-and-lamp
🪑 chair
🚽 toilet
🚿 shower
🛁 bathtub
🪒 razor
🧴 lotion-bottle
🧷 safety-pin
🧹 broom
🧺 basket
🧻 roll-of-paper
🧼 soap
🧽 sponge
🧯 fire-extinguisher
🛒 shopping-cart
🚬 cigarette
⚰️ coffin
⚱️ funeral-urn
🗿 moai
🏧 atm-sign
🚮 litter-in-bin-sign
🚰 potable-water
♿ wheelchair-symbol
🚹 men-s-room
🚺 women-s-room
🚻 restroom
🚼 baby-symbol
🚾 water-closet
🛂 passport-control
🛃 customs
🛄 baggage-claim
🛅 left-luggage
⚠️ warning
🚸 children-crossing
⛔ no-entry
🚫 prohibited
🚳 no-bicycles
🚭 no-smoking
🚯 no-littering
🚱 non-potable-water
🚷 no-pedestrians
📵 no-mobile-phones
🔞 no-one-under-eighteen
☢️ radioactive
☣️ biohazard
⬆️ up-arrow
↗️ up-right-arrow
➡️ right-arrow
↘️ down-right-arrow
⬇️ down-arrow
↙️ down-left-arrow
⬅️ left-arrow
↖️ up-left-arrow
↕️ up-down-arrow
↔️ left-right-arrow
↩️ right-arrow-curving-left
↪️ left-arrow-curving-right
⤴️ right-arrow-curving-up
⤵️ right-arrow-curving-down
🔃 clockwise-vertical-arrows
🔄 counterclockwise-arrows-button
🔙 back-arrow
🔚 end-arrow
🔛 on-arrow
🔜 soon-arrow
🔝 top-arrow
🛐 place-of-worship
⚛️ atom-symbol
🕉️ om
✡️ star-of-david
☸️ wheel-of-dharma
☯️ yin-yang
✝️ latin-cross
☦️ orthodox-cross
☪️ star-and-crescent
☮️ peace-symbol
🕎 menorah
🔯 dotted-six-pointed-star
♈ aries
♉ taurus
♊ gemini
♋ cancer
♌ leo
♍ virgo
♎ libra
♏ scorpio
♐ sagittarius
♑ capricorn
♒ aquarius
♓ pisces
⛎ ophiuchus
🔀 shuffle-tracks-button
🔁 repeat-button
🔂 repeat-single-button
▶️ play-button
⏩ fast-forward-button
⏭️ next-track-button
⏯️ play-or-pause-button
◀️ reverse-button
⏪ fast-reverse-button
⏮️ last-track-button
🔼 upwards-button
⏫ fast-up-button
🔽 downwards-button
⏬ fast-down-button
⏸️ pause-button
⏹️ stop-button
⏺️ record-button
⏏️ eject-button
🎦 cinema
🔅 dim-button
🔆 bright-button
📶 antenna-bars
📳 vibration-mode
📴 mobile-phone-off
♀️ female-sign
♂️ male-sign
⚕️ medical-symbol
♾️ infinity
♻️ recycling-symbol
⚜️ fleur-de-lis
🔱 trident-emblem
📛 name-badge
🔰 japanese-symbol-for-beginner
⭕ hollow-red-circle
✅ check-mark-button
☑️ check-box-with-check
✔️ check-mark
✖️ multiplication-sign
❌ cross-mark
❎ cross-mark-button
➕ plus-sign
➖ minus-sign
➗ division-sign
➰ curly-loop
➿ double-curly-loop
〽️ part-alternation-mark
✳️ eight-spoked-asterisk
✴️ eight-pointed-star
❇️ sparkle
‼️ double-exclamation-mark
⁉️ exclamation-question-mark
❓ question-mark
❔ white-question-mark
❕ white-exclamation-mark
❗ exclamation-mark
〰️ wavy-dash
©️ copyright
®️ registered
™️ trade-mark
*️⃣ keycap
0️⃣ keycap-0
1️⃣ keycap-1
2️⃣ keycap-2
3️⃣ keycap-3
4️⃣ keycap-4
5️⃣ keycap-5
6️⃣ keycap-6
7️⃣ keycap-7
8️⃣ keycap-8
9️⃣ keycap-9
🔟 keycap-10
🔠 input-latin-uppercase
🔡 input-latin-lowercase
🔢 input-numbers
🔣 input-symbols
🔤 input-latin-letters
🅰️ a-button-blood-type
🆎 ab-button-blood-type
🅱️ b-button-blood-type
🆑 cl-button
🆒 cool-button
🆓 free-button
ℹ️ information
🆔 id-button
Ⓜ️ circled-m
🆕 new-button
🆖 ng-button
🅾️ o-button-blood-type
🆗 ok-button
🅿️ p-button
🆘 sos-button
🆙 up-button
🆚 vs-button
🈁 japanese-here-button
🈂️ japanese-service-charge-button
🈷️ japanese-monthly-amount-button
🈶 japanese-not-free-of-charge-button
🈯 japanese-reserved-button
🉐 japanese-bargain-button
🈹 japanese-discount-button
🈚 japanese-free-of-charge-button
🈲 japanese-prohibited-button
🉑 japanese-acceptable-button
🈸 japanese-application-button
🈴 japanese-passing-grade-button
🈳 japanese-vacancy-button
㊗️ japanese-congratulations-button
㊙️ japanese-secret-button
🈺 japanese-open-for-business-button
🈵 japanese-no-vacancy-button
🔴 red-circle
🟠 orange-circle
🟡 yellow-circle
🟢 green-circle
🔵 blue-circle
🟣 purple-circle
🟤 brown-circle
⚫ black-circle
⚪ white-circle
🟥 red-square
🟧 orange-square
🟨 yellow-square
🟩 green-square
🟦 blue-square
🟪 purple-square
🟫 brown-square
⬛ black-large-square
⬜ white-large-square
◼️ black-medium-square
◻️ white-medium-square
◾ black-medium-small-square
◽ white-medium-small-square
▪️ black-small-square
▫️ white-small-square
🔶 large-orange-diamond
🔷 large-blue-diamond
🔸 small-orange-diamond
🔹 small-blue-diamond
🔺 red-triangle-pointed-up
🔻 red-triangle-pointed-down
💠 diamond-with-a-dot
🔘 radio-button
🔳 white-square-button
🔲 black-square-button
🏁 chequered-flag
🚩 triangular-flag
🎌 crossed-flags
🏴 black-flag
🏳️ white-flag
🏳️‍🌈 rainbow-flag
🏴‍☠️ pirate-flag
🇦🇨 flag-ascension-island
🇦🇩 flag-andorra
🇦🇪 flag-united-arab-emirates
🇦🇫 flag-afghanistan
🇦🇬 flag-antigua-barbuda
🇦🇮 flag-anguilla
🇦🇱 flag-albania
🇦🇲 flag-armenia
🇦🇴 flag-angola
🇦🇶 flag-antarctica
🇦🇷 flag-argentina
🇦🇸 flag-american-samoa
🇦🇹 flag-austria
🇦🇺 flag-australia
🇦🇼 flag-aruba
🇦🇽 flag-aland-islands
🇦🇿 flag-azerbaijan
🇧🇦 flag-bosnia-herzegovina
🇧🇧 flag-barbados
🇧🇩 flag-bangladesh
🇧🇪 flag-belgium
🇧🇫 flag-burkina-faso
🇧🇬 flag-bulgaria
🇧🇭 flag-bahrain
🇧🇮 flag-burundi
🇧🇯 flag-benin
🇧🇱 flag-st-barthelemy
🇧🇲 flag-bermuda
🇧🇳 flag-brunei
🇧🇴 flag-bolivia
🇧🇶 flag-caribbean-netherlands
🇧🇷 flag-brazil
🇧🇸 flag-bahamas
🇧🇹 flag-bhutan
🇧🇻 flag-bouvet-island
🇧🇼 flag-botswana
🇧🇾 flag-belarus
🇧🇿 flag-belize
🇨🇦 flag-canada
🇨🇨 flag-cocos-keeling-islands
🇨🇩 flag-congo-kinshasa
🇨🇫 flag-central-african-republic
🇨🇬 flag-congo-brazzaville
🇨🇭 flag-switzerland
🇨🇮 flag-cote-d-ivoire
🇨🇰 flag-cook-islands
🇨🇱 flag-chile
🇨🇲 flag-cameroon
🇨🇳 flag-china
🇨🇴 flag-colombia
🇨🇵 flag-clipperton-island
🇨🇷 flag-costa-rica
🇨🇺 flag-cuba
🇨🇻 flag-cape-verde
🇨🇼 flag-curacao
🇨🇽 flag-christmas-island
🇨🇾 flag-cyprus
🇨🇿 flag-czechia
🇩🇪 flag-germany
🇩🇬 flag-diego-garcia
🇩🇯 flag-djibouti
🇩🇰 flag-denmark
🇩🇲 flag-dominica
🇩🇴 flag-dominican-republic
🇩🇿 flag-algeria
🇪🇦 flag-ceuta-melilla
🇪🇨 flag-ecuador
🇪🇪 flag-estonia
🇪🇬 flag-egypt
🇪🇭 flag-western-sahara
🇪🇷 flag-eritrea
🇪🇸 flag-spain
🇪🇹 flag-ethiopia
🇪🇺 flag-european-union
🇫🇮 flag-finland
🇫🇯 flag-fiji
🇫🇰 flag-falkland-islands
🇫🇲 flag-micronesia
🇫🇴 flag-faroe-islands
🇫🇷 flag-france
🇬🇦 flag-gabon
🇬🇧 flag-united-kingdom
🇬🇩 flag-grenada
🇬🇪 flag-georgia
🇬🇫 flag-french-guiana
🇬🇬 flag-guernsey
🇬🇭 flag-ghana
🇬🇮 flag-gibraltar
🇬🇱 flag-greenland
🇬🇲 flag-gambia
🇬🇳 flag-guinea
🇬🇵 flag-guadeloupe
🇬🇶 flag-equatorial-guinea
🇬🇷 flag-greece
🇬🇸 flag-south-georgia-south-sandwich-islands
🇬🇹 flag-guatemala
🇬🇺 flag-guam
🇬🇼 flag-guinea-bissau
🇬🇾 flag-guyana
🇭🇰 flag-hong-kong-sar-china
🇭🇲 flag-heard-mcdonald-islands
🇭🇳 flag-honduras
🇭🇷 flag-croatia
🇭🇹 flag-haiti
🇭🇺 flag-hungary
🇮🇨 flag-canary-islands
🇮🇩 flag-indonesia
🇮🇪 flag-ireland
🇮🇱 flag-israel
🇮🇲 flag-isle-of-man
🇮🇳 flag-india
🇮🇴 flag-british-indian-ocean-territory
🇮🇶 flag-iraq
🇮🇷 flag-iran
🇮🇸 flag-iceland
🇮🇹 flag-italy
🇯🇪 flag-jersey
🇯🇲 flag-jamaica
🇯🇴 flag-jordan
🇯🇵 flag-japan
🇰🇪 flag-kenya
🇰🇬 flag-kyrgyzstan
🇰🇭 flag-cambodia
🇰🇮 flag-kiribati
🇰🇲 flag-comoros
🇰🇳 flag-st-kitts-nevis
🇰🇵 flag-north-korea
🇰🇷 flag-south-korea
🇰🇼 flag-kuwait
🇰🇾 flag-cayman-islands
🇰🇿 flag-kazakhstan
🇱🇦 flag-laos
🇱🇧 flag-lebanon
🇱🇨 flag-st-lucia
🇱🇮 flag-liechtenstein
🇱🇰 flag-sri-lanka
🇱🇷 flag-liberia
🇱🇸 flag-lesotho
🇱🇹 flag-lithuania
🇱🇺 flag-luxembourg
🇱🇻 flag-latvia
🇱🇾 flag-libya
🇲🇦 flag-morocco
🇲🇨 flag-monaco
🇲🇩 flag-moldova
🇲🇪 flag-montenegro
🇲🇫 flag-st-martin
🇲🇬 flag-madagascar
🇲🇭 flag-marshall-islands
🇲🇰 flag-macedonia
🇲🇱 flag-mali
🇲🇲 flag-myanmar-burma
🇲🇳 flag-mongolia
🇲🇴 flag-macao-sar-china
🇲🇵 flag-northern-mariana-islands
🇲🇶 flag-martinique
🇲🇷 flag-mauritania
🇲🇸 flag-montserrat
🇲🇹 flag-malta
🇲🇺 flag-mauritius
🇲🇻 flag-maldives
🇲🇼 flag-malawi
🇲🇽 flag-mexico
🇲🇾 flag-malaysia
🇲🇿 flag-mozambique
🇳🇦 flag-namibia
🇳🇨 flag-new-caledonia
🇳🇪 flag-niger
🇳🇫 flag-norfolk-island
🇳🇬 flag-nigeria
🇳🇮 flag-nicaragua
🇳🇱 flag-netherlands
🇳🇴 flag-norway
🇳🇵 flag-nepal
🇳🇷 flag-nauru
🇳🇺 flag-niue
🇳🇿 flag-new-zealand
🇴🇲 flag-oman
🇵🇦 flag-panama
🇵🇪 flag-peru
🇵🇫 flag-french-polynesia
🇵🇬 flag-papua-new-guinea
🇵🇭 flag-philippines
🇵🇰 flag-pakistan
🇵🇱 flag-poland
🇵🇲 flag-st-pierre-miquelon
🇵🇳 flag-pitcairn-islands
🇵🇷 flag-puerto-rico
🇵🇸 flag-palestinian-territories
🇵🇹 flag-portugal
🇵🇼 flag-palau
🇵🇾 flag-paraguay
🇶🇦 flag-qatar
🇷🇪 flag-reunion
🇷🇴 flag-romania
🇷🇸 flag-serbia
🇷🇺 flag-russia
🇷🇼 flag-rwanda
🇸🇦 flag-saudi-arabia
🇸🇧 flag-solomon-islands
🇸🇨 flag-seychelles
🇸🇩 flag-sudan
🇸🇪 flag-sweden
🇸🇬 flag-singapore
🇸🇭 flag-st-helena
🇸🇮 flag-slovenia
🇸🇯 flag-svalbard-jan-mayen
🇸🇰 flag-slovakia
🇸🇱 flag-sierra-leone
🇸🇲 flag-san-marino
🇸🇳 flag-senegal
🇸🇴 flag-somalia
🇸🇷 flag-suriname
🇸🇸 flag-south-sudan
🇸🇹 flag-sao-tome-principe
🇸🇻 flag-el-salvador
🇸🇽 flag-sint-maarten
🇸🇾 flag-syria
🇸🇿 flag-eswatini
🇹🇦 flag-tristan-da-cunha
🇹🇨 flag-turks-caicos-islands
🇹🇩 flag-chad
🇹🇫 flag-french-southern-territories
🇹🇬 flag-togo
🇹🇭 flag-thailand
🇹🇯 flag-tajikistan
🇹🇰 flag-tokelau
🇹🇱 flag-timor-leste
🇹🇲 flag-turkmenistan
🇹🇳 flag-tunisia
🇹🇴 flag-tonga
🇹🇷 flag-turkey
🇹🇹 flag-trinidad-tobago
🇹🇻 flag-tuvalu
🇹🇼 flag-taiwan
🇹🇿 flag-tanzania
🇺🇦 flag-ukraine
🇺🇬 flag-uganda
🇺🇲 flag-u-s-outlying-islands
🇺🇳 flag-united-nations
🇺🇸 flag-united-states
🇺🇾 flag-uruguay
🇺🇿 flag-uzbekistan
🇻🇦 flag-vatican-city
🇻🇨 flag-st-vincent-grenadines
🇻🇪 flag-venezuela
🇻🇬 flag-british-virgin-islands
🇻🇮 flag-u-s-virgin-islands
🇻🇳 flag-vietnam
🇻🇺 flag-vanuatu
🇼🇫 flag-wallis-futuna
🇼🇸 flag-samoa
🇽🇰 flag-kosovo
🇾🇪 flag-yemen
🇾🇹 flag-mayotte
🇿🇦 flag-south-africa
🇿🇲 flag-zambia
🇿🇼 flag-zimbabwe
🏴󠁧󠁢󠁥󠁮󠁧󠁿 flag-england,
